source,category_id,base_sku,sku_id,issue_type,sku_oed,sku_desc,sku_image,raw_label_title,raw_image,distinct_oed,distinct_images
phase1a,157,"600C-BLK",,inconsistent_group,,,,,,1,2
phase1a,157,"600C-VPTD",,inconsistent_group,,,,,,1,2
phase1a,358,"582P-CC",,inconsistent_group,,,,,,1,2
phase1a,358,"582P-KS",,inconsistent_group,,,,,,1,2
phase1a,358,"ADDISON-MN",,inconsistent_group,,,,,,1,2
phase1a,358,"ALEXA-MU",,inconsistent_group,,,,,,1,2
phase1a,358,"EMILIA-MU",,inconsistent_group,,,,,,1,2
phase1a,358,"FIORELLA-FC",,inconsistent_group,,,,,,1,2
phase1a,358,"GEORGIA-BU",,inconsistent_group,,,,,,1,2
phase1a,358,"LILIANNA-BU",,inconsistent_group,,,,,,1,2
phase1a,358,"MADELIENE-BK",,inconsistent_group,,,,,,1,2
phase1a,358,"MARINA-MG",,inconsistent_group,,,,,,1,2
phase1a,410,"582P-FD",,inconsistent_group,,,,,,1,2
phase1a,410,"584P-FD",,inconsistent_group,,,,,,1,2
phase1a,410,"611P-JY",,inconsistent_group,,,,,,1,2
phase1a,410,"EMERY-CM",,inconsistent_group,,,,,,1,2
phase1a,423,"582P-CC",,inconsistent_group,,,,,,1,2
phase1a,423,"611P-JY",,inconsistent_group,,,,,,1,2
phase1b,187,,"139E-MU-10",missing_oed,"","Pastel Activewear Bike Shorts - 10 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/products/139E-MU-Pastel-Activewear-Bicycle-ShortS_a66a7807-43f5-47b1-86e1-5c7fa49db677.jpg?v=1756433071",,,,
phase1b,187,,"139E-MU-12",missing_oed,"","Pastel Activewear Bike Shorts - 12 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/products/139E-MU-Pastel-Activewear-Bicycle-ShortS_a66a7807-43f5-47b1-86e1-5c7fa49db677.jpg?v=1756433071",,,,
phase1b,187,,"139E-MU-14",missing_oed,"","Pastel Activewear Bike Shorts - 14 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/products/139E-MU-Pastel-Activewear-Bicycle-ShortS_a66a7807-43f5-47b1-86e1-5c7fa49db677.jpg?v=1756433071",,,,
phase1b,187,,"139E-MU-7",missing_oed,"","Pastel Activewear Bike Shorts - 7 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/products/139E-MU-Pastel-Activewear-Bicycle-ShortS_a66a7807-43f5-47b1-86e1-5c7fa49db677.jpg?v=1756433071",,,,
phase1b,187,,"139E-MU-8",missing_oed,"","Pastel Activewear Bike Shorts - 8 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/products/139E-MU-Pastel-Activewear-Bicycle-ShortS_a66a7807-43f5-47b1-86e1-5c7fa49db677.jpg?v=1756433071",,,,
phase1b,187,,"178E-BK-10/12",missing_oed,"","Essential Black Sports Bra - 10/12 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/178E-BLACK-SPORTS-BRA-HALF-TOP-front_1_2.jpg?v=1756433074",,,,
phase1b,187,,"178E-BK-14/16",missing_oed,"","Essential Black Sports Bra - 14/16 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/178E-BLACK-SPORTS-BRA-HALF-TOP-front_1_2.jpg?v=1756433074",,,,
phase1b,187,,"178E-BK-7/8",missing_oed,"","Essential Black Sports Bra - 7/8 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/178E-BLACK-SPORTS-BRA-HALF-TOP-front_1_2.jpg?v=1756433074",,,,
phase1b,187,,"178E-MU-10/12",missing_oed,"","Pastel Sports Bra - 10/12 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/files/139E-MU-Pastel-Activewear-Bicycle-ShortS.jpg?v=1756433077",,,,
phase1b,187,,"178E-MU-14/16",missing_oed,"","Pastel Sports Bra - 14/16 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/files/139E-MU-Pastel-Activewear-Bicycle-ShortS.jpg?v=1756433077",,,,
phase1b,187,,"178E-MU-7/8",missing_oed,"","Pastel Sports Bra - 7/8 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/files/139E-MU-Pastel-Activewear-Bicycle-ShortS.jpg?v=1756433077",,,,
phase1b,330,,"BROOKE-PR-10",missing_oed,"","Embroidered Trim One Piece Swimsuit - Orchid - 10 / PURPLE","https://cdn.shopify.com/s/files/1/1608/5387/files/BROOKE.jpg?v=1754593909",,,,
phase1b,330,,"BROOKE-PR-12",missing_oed,"","Embroidered Trim One Piece Swimsuit - Orchid - 12 / PURPLE","https://cdn.shopify.com/s/files/1/1608/5387/files/BROOKE.jpg?v=1754593909",,,,
phase1b,330,,"BROOKE-PR-14",missing_oed,"","Embroidered Trim One Piece Swimsuit - Orchid - 14 / PURPLE","https://cdn.shopify.com/s/files/1/1608/5387/files/BROOKE.jpg?v=1754593909",,,,
phase1b,330,,"BROOKE-PR-16",missing_oed,"","Embroidered Trim One Piece Swimsuit - Orchid - 16 / PURPLE","https://cdn.shopify.com/s/files/1/1608/5387/files/BROOKE.jpg?v=1754593909",,,,
phase1b,330,,"BROOKE-PR-4",missing_oed,"","Embroidered Trim One Piece Swimsuit - Orchid - 4 / PURPLE","https://cdn.shopify.com/s/files/1/1608/5387/files/BROOKE.jpg?v=1754593909",,,,
phase1b,330,,"BROOKE-PR-5",missing_oed,"","Embroidered Trim One Piece Swimsuit - Orchid - 5 / PURPLE","https://cdn.shopify.com/s/files/1/1608/5387/files/BROOKE.jpg?v=1754593909",,,,
phase1b,330,,"BROOKE-PR-6",missing_oed,"","Embroidered Trim One Piece Swimsuit - Orchid - 6 / PURPLE","https://cdn.shopify.com/s/files/1/1608/5387/files/BROOKE.jpg?v=1754593909",,,,
